<<<<<<< HEAD
Entity,Code,Year,share_deforestation_exported
Afghanistan,AFG,2005,1.2017418279863712
Afghanistan,AFG,2006,0.8941567366134993
Afghanistan,AFG,2007,0.4421903129132187
Afghanistan,AFG,2008,0
Afghanistan,AFG,2009,0
Afghanistan,AFG,2010,0
Afghanistan,AFG,2011,0
Afghanistan,AFG,2012,0
Afghanistan,AFG,2013,0.0037705078543268425
Albania,ALB,2005,6.534949656989148
Albania,ALB,2006,4.13904023870846
Albania,ALB,2007,1.474306468527198
Albania,ALB,2008,0.797596178161033
Albania,ALB,2009,0.17130889376519529
Albania,ALB,2010,0.25919905177820873
Albania,ALB,2011,0.25011930945475896
Albania,ALB,2012,0.4800518428296442
Albania,ALB,2013,1.8697583046742658
Algeria,DZA,2005,0.12010351918819841
Algeria,DZA,2006,0.24084974001018267
Algeria,DZA,2007,0.22640200297535726
Algeria,DZA,2008,0.2529198213981614
Algeria,DZA,2009,0.4076424168837663
Algeria,DZA,2010,0.732917752968433
Algeria,DZA,2011,0.19295101716373064
Algeria,DZA,2012,0.20777512844765983
Algeria,DZA,2013,0.032350570389582445
Angola,AGO,2005,0.00686863805850532
Angola,AGO,2006,0.008371719305410221
Angola,AGO,2007,0.08276287252606655
Angola,AGO,2008,0.04788868680950762
Angola,AGO,2009,0.02636029184071637
Angola,AGO,2010,0.01901638222867569
Angola,AGO,2011,0.024346035078888797
Angola,AGO,2012,0.040737641553360564
Angola,AGO,2013,0.023255590825889766
Argentina,ARG,2005,51.058098594688815
Argentina,ARG,2006,47.61664175428471
Argentina,ARG,2007,37.74154225098138
Argentina,ARG,2008,34.37993841506478
Argentina,ARG,2009,43.897396141459616
Argentina,ARG,2010,37.47248691419327
Argentina,ARG,2011,44.357771014340784
Argentina,ARG,2012,62.022759925807804
Argentina,ARG,2013,56.71438880618502
Armenia,ARM,2005,1.5282657459162445
Armenia,ARM,2006,2.186932254801999
Armenia,ARM,2007,2.5377787406207752
Armenia,ARM,2008,1.445336592603521
Armenia,ARM,2009,1.2248252282095786
Armenia,ARM,2010,1.7557279557259529
Armenia,ARM,2011,0.7534653927153254
Armenia,ARM,2012,0.41510068792159005
Armenia,ARM,2013,0.38661012238109926
Australia,AUS,2005,42.079511010608414
Australia,AUS,2006,43.19525553848881
Australia,AUS,2007,38.555209495970686
Australia,AUS,2008,25.9034411347245
Australia,AUS,2009,33.08813997571088
Australia,AUS,2010,42.269481987996706
Australia,AUS,2011,41.36791905903225
Australia,AUS,2012,42.91006968179005
Australia,AUS,2013,47.8506492008127
Bahamas,BHS,2005,0
Bahamas,BHS,2006,0
Bahamas,BHS,2007,0
Bahamas,BHS,2008,1.816834527509953
Bahamas,BHS,2009,2.4622791087627043
Bahamas,BHS,2010,1.091001814252508
Bahamas,BHS,2011,0.6091436174132501
Bahamas,BHS,2012,0.143980100440972
Bahamas,BHS,2013,0.16541863816646354
Bangladesh,BGD,2005,0.09432996425134228
Bangladesh,BGD,2006,0.0874463014163185
Bangladesh,BGD,2007,0.03424275050496483
Bangladesh,BGD,2008,0.030433602142949694
Bangladesh,BGD,2009,0.13566333952413762
Bangladesh,BGD,2010,0.20748635623731468
Bangladesh,BGD,2011,0.181463773324947
Bangladesh,BGD,2012,0.16989541467501448
Bangladesh,BGD,2013,0.3273441422959912
Barbados,BRB,2005,0.286108902986291
Barbados,BRB,2006,0.5018211284198899
Barbados,BRB,2007,1.019798431246518
Barbados,BRB,2008,3.153677067398909
Barbados,BRB,2009,27.486512011297158
Barbados,BRB,2010,31.715549383366216
Barbados,BRB,2011,8.640051720761521
Barbados,BRB,2012,1.4812422577154953
Barbados,BRB,2013,1.1126636453444325
Belize,BLZ,2005,28.19419852219132
Belize,BLZ,2006,17.560171579725772
Belize,BLZ,2007,8.744500999390983
Belize,BLZ,2008,18.415277053750575
Belize,BLZ,2009,11.2889302062078
Belize,BLZ,2010,20.41367500602956
Belize,BLZ,2011,25.41470557452763
Belize,BLZ,2012,29.55937958025206
Belize,BLZ,2013,32.040560007234056
Benin,BEN,2005,9.280848228898876
Benin,BEN,2006,2.0171173502470072
Benin,BEN,2007,0.5682688248522424
Benin,BEN,2008,1.13791382104379
Benin,BEN,2009,7.51103796242007
Benin,BEN,2010,15.883575797074117
Benin,BEN,2011,8.596304373462377
Benin,BEN,2012,22.688493247777767
Benin,BEN,2013,19.709224677438872
Bhutan,BTN,2005,1.549679531105213
Bhutan,BTN,2006,0.10398971265649055
Bhutan,BTN,2007,0.05370608725915007
Bhutan,BTN,2008,0.05685795148386241
Bhutan,BTN,2009,0.23295746173075688
