Title,US Gross,Worldwide Gross,US DVD Sales,Production Budget,Release Date,MPAA Rating,Running Time min,Distributor,Source,Major Genre,Creative Type,Director,Rotten Tomatoes Rating,IMDB Rating,IMDB Votes
Boynton Beach Club,3127472.0,3127472.0,,2900000.0,Mar 24 2006,R,104.0,Wingate Distribution,Original Screenplay,Romantic Comedy,Contemporary Fiction,,,,
Broken Arrow,70645997.0,148345997.0,,65000000.0,Feb 09 1996,R,108.0,20th Century Fox,Original Screenplay,Action,Contemporary Fiction,John Woo,55.0,5.8,33584.0
Brazil,9929135.0,9929135.0,,15000000.0,Dec 18 1985,R,136.0,Universal,Original Screenplay,Black Comedy,Fantasy,Terry Gilliam,98.0,8.0,76635.0
The Cable Guy,60240295.0,102825796.0,,47000000.0,Jun 14 1996,PG-13,95.0,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,Ben Stiller,52.0,5.8,51109.0
Chain Reaction,21226204.0,60209334.0,,55000000.0,Aug 02 1996,PG-13,106.0,20th Century Fox,Original Screenplay,Action,Contemporary Fiction,Andrew Davis,13.0,5.2,15817.0
City Hall,20278055.0,20278055.0,,40000000.0,Feb 16 1996,R,111.0,Sony Pictures,Original Screenplay,Drama,Contemporary Fiction,Harold Becker,55.0,6.1,9908.0
Courage Under Fire,59003384.0,100833145.0,,46000000.0,Jul 12 1996,R,115.0,20th Century Fox,Original Screenplay,Drama,Historical Fiction,Edward Zwick,85.0,6.6,19682.0
Dante's Peak,67163857.0,178200000.0,,115000000.0,Feb 07 1997,PG-13,108.0,Universal,Original Screenplay,Drama,Contemporary Fiction,Roger Donaldson,28.0,5.6,23472.0
Daylight,32908290.0,158908290.0,,80000000.0,Dec 06 1996,PG-13,115.0,Universal,Original Screenplay,Action,Contemporary Fiction,Rob Cohen,22.0,5.4,20052.0
Dragonheart,51364680.0,104364680.0,,57000000.0,May 31 1996,PG-13,108.0,Universal,Original Screenplay,Adventure,Fantasy,Rob Cohen,50.0,6.2,26309.0
Emma,22231658.0,37831658.0,,5900000.0,Aug 02 1996,PG,111.0,Miramax,Based on Book/Short Story,Romantic Comedy,Historical Fiction,,,6.8,13798.0
Escape from L.A.,25426861.0,25426861.0,,50000000.0,Aug 09 1996,R,101.0,Paramount Pictures,Original Screenplay,Action,Science Fiction,John Carpenter,56.0,5.3,23262.0
Eraser,101295562.0,234400000.0,,100000000.0,Jun 21 1996,R,115.0,Warner Bros.,Original Screenplay,Action,Contemporary Fiction,Chuck Russell,34.0,5.9,37287.0
From Dusk Till Dawn,25728961.0,25728961.0,,20000000.0,Jan 19 1996,R,107.0,Miramax/Dimension,Original Screenplay,Horror,Fantasy,Robert Rodriguez,63.0,7.1,80234.0
First Morning,87264.0,87264.0,,300000.0,Jul 15 2005,PG-13,90.0,Illuminare,,Drama,,,,,
Fled,17192205.0,19892205.0,,30000000.0,Jul 19 1996,R,98.0,MGM,Original Screenplay,Action,Contemporary Fiction,,14.0,4.9,4215.0
Fantasia 2000 (IMAX),60507228.0,60507228.0,,80000000.0,Jan 01 2000,G,75.0,Walt Disney Pictures,Compilation,Musical,Kids Fiction,,,,
Fargo,24567751.0,51204567.0,,7000000.0,Mar 08 1996,R,87.0,Gramercy,Based on Real Life Events,Thriller/Suspense,Contemporary Fiction,Joel Coen,94.0,8.3,165159.0
The First Wives Club,105489203.0,181489203.0,,30000000.0,Sep 20 1996,PG,90.0,Paramount Pictures,Based on Book/Short Story,Comedy,Contemporary Fiction,Hugh Wilson,41.0,5.6,14682.0
The Ghost and the Darkness,38564422.0,38564422.0,,55000000.0,Oct 11 1996,R,109.0,Paramount Pictures,Based on Real Life Events,Action,Dramatization,Stephen Hopkins,51.0,6.6,19735.0
The Glimmer Man,20404841.0,36404841.0,,45000000.0,Oct 04 1996,R,92.0,Warner Bros.,Original Screenplay,Action,Contemporary Fiction,,13.0,4.9,7230.0
Gone with the Wind,198680470.0,390525192.0,,3900000.0,Dec 15 2039,G,222.0,MGM,Based on Book/Short Story,Drama,Historical Fiction,George Cukor,97.0,8.2,78947.0
Happy Gilmore,38623460.0,38623460.0,,10000000.0,Feb 16 1996,PG-13,92.0,Universal,Original Screenplay,Comedy,Contemporary Fiction,Dennis Dugan,58.0,6.9,54111.0
