MeetID,Name,Sex,Equipment,Age,Division,BodyweightKg,WeightClassKg,Squat4Kg,BestSquatKg,Bench4Kg,BestBenchKg,Deadlift4Kg,BestDeadliftKg,TotalKg,Place,Wilks
1705,Michael Rosenberg,M,Single-ply,,Teen 14-18,63.9,67.5,,175.0,,110.0,,190.0,475.0,1,383.21
922,Kyle Hendricks,M,Raw,,Open,131.1,120+,,,,175.0,,,175.0,1,98.83
1469,Aigul Sitdikova,F,Single-ply,27.5,Open,46.89,47,,165.0,,125.0,,150.0,440.0,3,592.75
6801,Hunter Soileau,F,Raw,18.5,R-O,82.9,84,,112.5,,67.5,,122.5,302.5,3,271.56
5068,Michael Adelante,M,Raw,,Amateur Open,82.46,82.5,,161.03,,124.74,,197.31,483.08,6,323.71
6454,Dustin Minks,M,Multi-ply,,UPA-Open,122.6,125,,,,,,,,DQ,
8006,Jeremy Collum,M,Raw,37.0,Submaster Men,150.4,140+,,245.0,,172.5,,245.0,662.5,1,366.421
7221,Alexis Ortiz,F,Single-ply,,T2,75.0,84,,152.5,,70.0,,142.5,365.0,1,346.98
1837,Vegeir Knudsen,M,Single-ply,,Open,75.0,75,,190.0,,180.0,,180.0,550.0,1,391.91
154,Robert Rodney,M,Raw,,M2,91.4,93,,,,152.5,,,152.5,G,96.61
5870,Aaron Willis,M,Single-ply,,Boys,88.72,90,,215.46,,106.59,,199.58,521.63,4,335.48
1431,Kamil Dec,M,Raw,16.5,Subjuniors,58.7,59,,130.0,,92.5,,162.5,385.0,3,335.06
7435,J.E. Michael,M,Single-ply,,Varsity,90.0,90,,200.0,,127.5,,220.0,547.5,14,349.52
7153,Jim McKenna,M,Raw,68.5,R-M3b-B,99.4,105,,,,137.5,,,137.5,1,83.88
1709,Cato Valde,M,Single-ply,,Junior 19-23,104.3,110,,140.0,,110.0,,215.0,465.0,2,278.52
6883,Daljuan Peterson,M,Raw,30.5,R-O,150.7,120+,,187.5,,112.5,,255.0,555.0,1,306.88
326,Rosalin Hanna,F,Single-ply,,Open,67.5,67.5,,,,65.0,,,65.0,1,66.34
7659,Kevin Eubanks,M,Single-ply,42.0,Master Men 40-44,88.68,90,,257.5,,165.0,,250.0,672.5,1,432.61
